;Score
"Controlled
 vocabulary";5.0
"Schema &
 value reconciliation";5.0
"Consistent
 Search & Query";5.0
"Knowledge
 acquisition";5.0
"Clustering &
 similiraty";5.0
"Indexing &
 linking";5.0
"Results
 representation";3.0
Text analysis;5.0
"Guidance &
 decision trees";5.0
"Knowledge
 reuse";5.0
