;Value;Score
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;0.6666666666666666;1
NOCOnto;1.0;5
CBOOnto;0.5555555555555556;1
RFCOnto;3.4444444444444446;4
NOMOnto;2.888888888888889;4
RROnto;0.10344827586206896;1
PROnto;0.896551724137931;5
AROnto;0.1111111111111111;1
INROnto;0.3333333333333333;2
ANOnto;12.777777777777779;5
TMOnto2;0.5555555555555556;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;1.0;5
NOCOnto;3.12;4
CBOOnto;0.9504950495049505;1
RFCOnto;1.1782178217821782;5
NOMOnto;0.22772277227722773;5
RROnto;0.7722772277227723;4
PROnto;0.22772277227722773;2
AROnto;0.1782178217821782;1
INROnto;0.7722772277227723;4
ANOnto;1.3564356435643565;5
TMOnto2;0.9504950495049505;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;1.0;5
NOCOnto;0.7314814814814815;1
CBOOnto;0.5034013605442177;1
RFCOnto;2.1904761904761907;5
NOMOnto;1.6870748299319729;5
RROnto;0.2415902140672783;2
PROnto;0.7584097859327217;4
AROnto;0.20408163265306123;2
INROnto;0.5374149659863946;3
ANOnto;0.9591836734693877;5
TMOnto2;0.5034013605442177;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;1.0;5
NOCOnto;3.3157894736842106;4
CBOOnto;1.0289855072463767;5
RFCOnto;2.2753623188405796;5
NOMOnto;1.2463768115942029;5
RROnto;0.4228187919463087;3
PROnto;0.5771812080536913;3
AROnto;0.043478260869565216;1
INROnto;0.9130434782608695;5
ANOnto;1.681159420289855;5
TMOnto2;1.0289855072463767;5
LCOMOnto;-0.0;5
WMCOnto2;0.0;5
DITOnto;0.0;1
NACOnto;1.0;5
NOCOnto;3.0;5
CBOOnto;1.0;5
RFCOnto;4.25;4
NOMOnto;3.25;4
RROnto;0.10344827586206896;1
PROnto;0.896551724137931;5
